"","date","time","volume","tradingphase"
"167","2020-03-31","12:05:00",282828,"CONTINUOUS"
"168","2020-03-31","12:10:00",236381,"CONTINUOUS"
"169","2020-03-31","12:15:00",566021,"CONTINUOUS"
"170","2020-03-31","12:20:00",354566,"CONTINUOUS"
"171","2020-03-31","12:25:00",288513,"CONTINUOUS"
"172","2020-03-31","12:30:00",585135,"CONTINUOUS"
"173","2020-03-31","12:35:00",566449,"CONTINUOUS"
"174","2020-03-31","12:40:00",358990,"CONTINUOUS"
"175","2020-03-31","12:45:00",530502,"CONTINUOUS"
"176","2020-03-31","12:50:00",314383,"CONTINUOUS"
"177","2020-03-31","12:55:00",321689,"CONTINUOUS"
"178","2020-03-31","13:00:00",436619,"CONTINUOUS"
"179","2020-03-31","13:05:00",492463,"CONTINUOUS"
"180","2020-03-31","13:10:00",484629,"CONTINUOUS"
"181","2020-03-31","13:15:00",355645,"CONTINUOUS"
"182","2020-03-31","13:20:00",235411,"CONTINUOUS"
"183","2020-03-31","13:25:00",503436,"CONTINUOUS"
"184","2020-03-31","13:30:00",936704,"CONTINUOUS"
"185","2020-03-31","13:35:00",664150,"CONTINUOUS"
"186","2020-03-31","13:40:00",512918,"CONTINUOUS"
"187","2020-03-31","13:45:00",813843,"CONTINUOUS"
"188","2020-03-31","13:50:00",641129,"CONTINUOUS"
"189","2020-03-31","13:55:00",514823,"CONTINUOUS"
"190","2020-03-31","14:00:00",905256,"CONTINUOUS"
"191","2020-03-31","14:05:00",768942,"CONTINUOUS"
"192","2020-03-31","14:10:00",628980,"CONTINUOUS"
"193","2020-03-31","14:15:00",688932,"CONTINUOUS"
"194","2020-03-31","14:20:00",781168,"CONTINUOUS"
"195","2020-03-31","14:25:00",811630,"CONTINUOUS"
"196","2020-03-31","14:30:00",662229,"CONTINUOUS"
"197","2020-03-31","14:35:00",940171,"CONTINUOUS"
"198","2020-03-31","14:40:00",807434,"CONTINUOUS"
"199","2020-03-31","14:45:00",1622004,"CONTINUOUS"
"200","2020-03-31","14:50:00",726565,"CONTINUOUS"
"201","2020-03-31","14:55:00",675440,"CONTINUOUS"
"202","2020-03-31","15:00:00",929333,"CONTINUOUS"
"203","2020-03-31","15:05:00",953542,"CONTINUOUS"
"204","2020-03-31","15:10:00",1049959,"CONTINUOUS"
"205","2020-03-31","15:15:00",1494565,"CONTINUOUS"
"206","2020-03-31","15:20:00",1314129,"CONTINUOUS"
"207","2020-03-31","15:25:00",2695456,"CONTINUOUS"
"208","2020-03-31","",48561438,"CLOSING AUCTION"
"209","2020-04-01","",1312345,"OPENING AUCTION"
"210","2020-04-01","07:00:00",534993,"CONTINUOUS"
"211","2020-04-01","07:05:00",529463,"CONTINUOUS"
"212","2020-04-01","07:10:00",736689,"CONTINUOUS"
"213","2020-04-01","07:15:00",873272,"CONTINUOUS"
"214","2020-04-01","07:20:00",615230,"CONTINUOUS"
"215","2020-04-01","07:25:00",524333,"CONTINUOUS"
"216","2020-04-01","07:30:00",766240,"CONTINUOUS"
"217","2020-04-01","07:35:00",687305,"CONTINUOUS"
"218","2020-04-01","07:40:00",988484,"CONTINUOUS"
"219","2020-04-01","07:45:00",1129837,"CONTINUOUS"
"220","2020-04-01","07:50:00",736322,"CONTINUOUS"
"221","2020-04-01","07:55:00",884066,"CONTINUOUS"
"222","2020-04-01","08:00:00",995889,"CONTINUOUS"
"223","2020-04-01","08:05:00",1521227,"CONTINUOUS"
